result_id,dataset,feature_resolution,evaluation,training_attack,test_attack,adaptation_sinkhole_seeds,split_method,splits,train_units,test_units,accuracy,precision,recall,f1,f2,fpr,tp,tn,fp,fn,interpretation
cooja_run_blackhole_in_domain,Cooja controlled dataset,complete run,in-domain validation,blackhole,blackhole,0,leave-one-whole-seed-out; confusion counts aggregated,5,8 runs per split,10,1.0,1.0,1.0,1.0,1.0,0.0,5,5,0,0,Strong in-domain baseline on five held-out attack/control seed pairs.
cooja_run_blackhole_to_sinkhole_static,Cooja controlled dataset,complete run,static attack-distribution shift,blackhole,sinkhole,0,train/test separated by attack family and complete run,1,10 runs,10,0.5,0.0,0.0,0.0,0.0,0.0,0,5,0,5,All five sinkhole attacks were classified as normal; accuracy is chance-level on the balanced run set.
cooja_run_blackhole_to_sinkhole_adapt_3,Cooja controlled dataset,complete run,three-seed adaptation,blackhole plus sinkhole adaptation runs,held-out sinkhole,3,mean over all 10 combinations of three adaptation seeds,10,16 runs per split,4 held-out runs per split,0.5,0.0,0.0,0.0,,,,,,,Retraining did not recover attack detection because the coarse features do not expose rank manipulation.
cooja_window_blackhole_in_domain,Cooja controlled dataset,60-second window,in-domain validation,blackhole,blackhole,0,leave-one-whole-seed-out; confusion counts aggregated,5,72 windows per split,90,0.9889,1.0,0.96,0.9796,0.9677,0.0,24,65,0,1,Strong in-domain temporal baseline with one missed blackhole attack window.
cooja_window_blackhole_to_sinkhole_static,Cooja controlled dataset,60-second window,static attack-distribution shift,blackhole,sinkhole,0,train/test separated by attack family and complete seed,1,90 windows,90,0.7222,0.0,0.0,0.0,0.0,0.0,0,65,0,25,Zero attack recall; 0.7222 accuracy is the all-normal majority baseline (65 of 90 windows).
cooja_window_blackhole_to_sinkhole_adapt_3,Cooja controlled dataset,60-second window,three-seed adaptation,blackhole plus sinkhole adaptation windows,held-out sinkhole,3,mean over all 10 combinations of three adaptation seeds,10,144 windows per split,36 held-out windows per split,0.4944,0.3547,1.0,0.5237,0.7332,0.7,,,,,"Recall recovered to 1.0, but FPR rose to 0.70; this is an over-alerting trade-off, not clean recovery."
cooja_routing_cart_blackhole_to_sinkhole_static,Cooja routing-aware dataset,60-second window,static attack-distribution shift,blackhole,sinkhole,0,train/test separated by attack family and complete seed,1,90 windows,90,0.7222,0.0,0.0,0.0,0.0,0.0,0,65,0,25,Routing features alone do not remove static blackhole-to-sinkhole transfer failure.
cooja_routing_cart_coarse_adapt_3,Cooja routing-aware dataset,60-second window,three-seed adaptation feature ablation,blackhole plus sinkhole adaptation windows,held-out sinkhole,3,mean over all 10 combinations of three adaptation seeds,10,144 windows per split,36 held-out windows per split,0.7222,0.3083,0.06,0.0978,0.0709,0.0231,,,,,Additional sinkhole examples do not recover detection using only coarse delivery and radio features.
cooja_routing_cart_adapt_1,Cooja routing-aware dataset,60-second window,1-seed routing-aware adaptation,blackhole plus sinkhole adaptation windows,held-out sinkhole,1,mean over all 5 combinations of 1 adaptation seeds,5,routing windows from blackhole plus adaptation seeds,held-out sinkhole windows,0.925,1.0,0.73,0.8129,0.7574,0.0,,,,,Routing-state features expose persistent low-rank advertisements and enable seed-separated adaptation.
cooja_routing_cart_adapt_2,Cooja routing-aware dataset,60-second window,2-seed routing-aware adaptation,blackhole plus sinkhole adaptation windows,held-out sinkhole,2,mean over all 10 combinations of 2 adaptation seeds,10,routing windows from blackhole plus adaptation seeds,held-out sinkhole windows,0.9648,1.0,0.8733,0.9087,0.8857,0.0,,,,,Routing-state features expose persistent low-rank advertisements and enable seed-separated adaptation.
cooja_routing_cart_adapt_3,Cooja routing-aware dataset,60-second window,3-seed routing-aware adaptation,blackhole plus sinkhole adaptation windows,held-out sinkhole,3,mean over all 10 combinations of 3 adaptation seeds,10,routing windows from blackhole plus adaptation seeds,held-out sinkhole windows,0.9861,1.0,0.95,0.9731,0.9588,0.0,,,,,Routing-state features expose persistent low-rank advertisements and enable seed-separated adaptation.
gope_all_labelled_preliminary,Supplied Gope dataset,row,preliminary multi-attack baseline,seven labelled attack files,seven labelled attack files,not applicable,class-balanced per attack; stratified random row holdout,1,47825 rows,20497,0.6217,0.8637,0.2663,0.4071,0.309,0.04,2662,10080,420,7335,Routing-aware Gaussian baseline has high precision but low recall; row leakage remains a validity limitation.
gope_blackhole_to_sinkhole_static,Supplied Gope dataset,row,static attack-distribution shift,blackhole,sinkhole,0,train/test separated by attack file; class-balanced samples,1,10000 rows,10000,0.5083,0.6067,0.0472,0.0876,0.0579,0.0306,236,4847,153,4764,Weak cross-attack transfer also appears in the external supplied data: recall is 0.0472.
